,,,Cosmological parameters,,,,,,,Derived parameters,,,,
Serial Number,Run,Job,Omega_m,sigma_8,w,Omega_b little_h^2,little_h,n_s,m_nu,Omega_b,Comment,RunTime (hours),WhereRun,wa
1,C,1,0.2900404837,0.7657514029,-1.008941473,0.02236562735,0.6673620556,0.949651544,0.06,0.0502178441,Verification run - naive treatment of neutrinos,19.58333,Wilkes,-2.0906559101313213
2,C,2,0.2496287584,0.9504961601,-0.7924174042,0.02233918034,0.7165473754,0.9513110688,0.06,0.04350883101,Verification run - naive treatment of neutrinos,25.28333,Wilkes,-1.7329666411609885
3,C,3,0.3304728355,0.6076453374,-1.229758545,0.02243142545,0.7226843574,0.9523584611,0.06,0.04294964354,Verification run - naive treatment of neutrinos,17.13333,Wilkes,0.18946182933093647
4,C,4,0.27094407,0.8513675341,-1.112993329,0.02244106655,0.7082105652,0.9531430353,0.06,0.04474233973,Verification run - naive treatment of neutrinos,22.28333,Wilkes,-0.29498131699610175
5,C,5,0.3589897333,0.5245736508,-0.6469088671,0.02231486136,0.6952030973,0.9537788358,0.06,0.04617116112,Verification run - naive treatment of neutrinos,16.53333,Wilkes,-1.435561797592364
6,C,6,0.221166852,0.8112194208,-0.905774682,0.02269354598,0.6748089368,0.9543181345,0.06,0.04983571699,Verification run - naive treatment of neutrinos,21.65,Wilkes,-1.6687442885344619
7,C,7,0.309141105,0.9154774522,-1.386154584,0.02249541443,0.7014858013,0.9547894539,0.06,0.04571473733,Verification run - naive treatment of neutrinos,23.85,Wilkes,-0.6067649856512407
8,C,8,0.2607509034,0.7160709102,-1.299660613,0.02244434459,0.7233675982,0.9552101463,0.06,0.04289323727,Verification run - naive treatment of neutrinos,18.18333,Wilkes,-2.2530632575851466
9,C,9,0.3432188853,0.8390318403,-0.8512597351,0.02236271042,0.724067712,0.9555915907,0.06,0.04265461996,Verification run - naive treatment of neutrinos,23.93333,Wilkes,-0.3089758239415148
10,C,10,0.198296789,0.9605255918,-0.5398929465,0.02250828258,0.7112059773,0.9559416715,0.06,0.04449913438,Verification run - naive treatment of neutrinos,27.2,Wilkes,0.7672114610797487
11,C,11,0.2994700789,0.5390741042,-1.060229412,0.02229893345,0.6942052827,0.9562660875,0.06,0.04627093367,Verification run - naive treatment of neutrinos,15.36667,Wilkes,-2.007017141481716
12,C,12,0.2369009993,1.083963453,-1.16877082,0.02234215134,0.6788754343,0.9565690981,0.06,0.04847801202,Verification run - naive treatment of neutrinos,25.9,Wilkes,0.7955246073332729
13,C,13,0.3193403133,0.7025919094,-0.7262259431,0.02226043277,0.6849200159,0.9568539745,0.06,0.04745193067,Verification run - naive treatment of neutrinos,18.93333,Wilkes,-0.33105018759851035
14,C,14,0.2806118946,0.627277849,-0.9578655863,0.02227514143,0.7370379444,0.9571232863,0.06,0.04100537392,Verification run - naive treatment of neutrinos,17.6,Wilkes,-2.6164082576235517
15,C,15,0.3819644299,0.7423988399,-1.511797658,0.02239488854,0.6861205277,0.957379091,0.06,0.04757163515,Verification run - naive treatment of neutrinos,20.38333,Wilkes,-1.2326413353287489
16,C,16,0.2853405937,0.936324772,-1.441154703,0.02246132483,0.6956975835,0.9576230629,0.06,0.04640816311,Verification run - naive treatment of neutrinos,23.68333,Wilkes,0.5459196773100707
17,C,17,0.4015927887,0.5895846041,-0.9320279369,0.02219093074,0.7019619637,0.9578565837,0.06,0.04503481235,Verification run - naive treatment of neutrinos,17.26667,Wilkes,-0.2101860004719116
18,C,18,0.2435267235,0.6177389796,-0.6887733658,0.0223860614,0.7454489719,0.9580808082,0.06,0.04028485922,Verification run - naive treatment of neutrinos,18.58333,Wilkes,-1.6941085437195516
19,C,19,0.3247567585,0.7640642013,-1.140389949,0.02247956723,0.7188747231,0.9582967116,0.06,0.04349922499,Verification run - naive treatment of neutrinos,21.08333,Wilkes,-0.06428734667973401
20,C,20,0.2111613528,0.8807610812,-1.034483248,0.0223510039,0.6765205452,0.9585051259,0.06,0.04883543426,Verification run - naive treatment of neutrinos,22.73333,Wilkes,-2.119460177818055
21,C,21,0.3042592123,0.9743160185,-0.4619486656,0.02224040246,0.707233878,0.9587067666,0.06,0.04446481909,Verification run - naive treatment of neutrinos,27.9,Wilkes,-2.6736217218311675
22,C,22,0.2659344469,0.9051988755,-0.8225309428,0.02245784107,0.6534273487,0.9589022545,0.06,0.05259850362,Verification run - naive treatment of neutrinos,24.06667,Wilkes,-2.36041759569981
23,C,23,0.3505804243,0.5757530757,-1.263260102,0.02227155425,0.7033906311,0.9590921315,0.06,0.04501501168,Verification run - naive treatment of neutrinos,16.51667,Wilkes,-1.6395992601811789
24,C,24,0.2295542199,0.8767329773,-1.340042085,0.02249959754,0.7101947173,0.9592768741,0.06,0.0446087316,Verification run - naive treatment of neutrinos,22.16667,Wilkes,-1.1392273851917962
25,C,25,0.3141533282,0.5079522608,-0.8789226319,0.02230217789,0.688414002,0.9594569033,0.06,0.0470595625,Verification run - naive treatment of neutrinos,15.13333,Wilkes,-1.9343158868369161
26,C,26,0.2758240605,0.6808148351,-0.5985734725,0.02224458557,0.7127528188,0.9596325938,0.06,0.04378712509,Verification run - naive treatment of neutrinos,19.7,Wilkes,0.2631056136992278
27,C,27,0.3690310176,0.7953104658,-1.086340544,0.02235979073,0.6645172356,0.9598042803,0.06,0.05063551542,Verification run - naive treatment of neutrinos,21.98333,Wilkes,-2.226822442842022
28,C,28,0.2553389559,0.6400686698,-1.198433025,0.02200694152,0.6493541564,0.9599722631,0.06,0.05219109877,Verification run - naive treatment of neutrinos,16.71667,Wilkes,-2.482123695291199
